"","id","gender","birth","marital","Wwa","district","timeWwa","children","dog","edu","eduprog","edutime","work","worktime","occup","fatheredu","motheredu","grandedu","income","lifestd","cars","hometype","homestatus","tv","pc","tablet","internet","internetuse","tvtime","tv.a1","tv.a2","tv.a3","tv.a4","tv.a5","tv.a6","tv.a7","tv.a8","tv.b1","tv.b2","tv.b3","tv.b4","tv.b5","tv.b6","tv.b7","tv.b8","tv.b9","moviefreq","movie.a1","movie.a2","movie.a3","movie.a4","movie.a5","movie.a6","movie.a7","movie.a8","movie.a9","movie.a10","movie30","bookfreq","book.a1","book.a2","book.a3","book.a4","book.a5","book.a6","book.a7","book.a8","book.a9","book.a10","book12","pressfreq","press.a1","press.a2","press.a3","press.a4","press.a5","press.a6","press.a7","press.b1","press.b2","press.b3","press.b4","press.b5","press.b6","press.b7","press.b8","press.b9","press.b10","musicfreq","music.a1","music.a2","music.a3","music.a4","music.a5","music.a6","music.a7","music.a8","music.a9","music.a10","music.a11","music.a12","music.a13","music.a14","theater","opera","cinema","art","livemusic","club","sportshow","sportint","football","trainfreq","trainfav","bookquant","cdquant","artquant","socact1","socact2","socact3","socact4","socact5","socact6","socact7","socact8","socact9","socact10","socact11","socact12","socact13","socact14","scknow1","scknow2","scknow3","scknow4","scknow5","scknow6","scknow7","scknow8","scknow9","scknow10","scknow11","scknow12","scknow13","scknow14","scknow15","schelp1","schelp2","schelp3","schelp4","schelp5","schelp6","schelp7","schelp8","schelp9","schelp10","schelp11","schelp12","schelp13","schelp14","schelp15","attgen1","attgen2","attgen3","attgen4","attgen5","attgen6","attgen7","attgen8","attgen9","attmult1","attmult2","attmult3","attmult4","attmult5","attmult6","attmult7","attmult8","attmult9","attmult10","attmult11","attmult12","attmult13","attmult14","attmult15","attmult16","attmult17","attmult18","age","ISCO","ISCObroad","income.f","incomeclass"
"NA.12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"184",184,"woman",1993,"single","yes","Mokotów",4,"no","no","BA","law/biz/menag","full","yes","part","analyst","high","high","high",1,4,"no_car","apartment","rent","no_tv","pc","tablet","everyday","no_blog/web",4,6,2,6,6,3,2,5,4,6,6,5,4,6,4,4,5,2,"not_often",2,3,4,3,4,5,7,6,5,5,"few","often",5,5,6,2,7,2,4,7,4,4,"many","often",6,6,3,4,3,5,5,5,4,4,4,3.12025316455696,4,3.01123595505618,4,5,7,"everyday",4,4,5,5,2,4,2,5,4,5,6,3,4,6,"not_often","not_often","not_often","sometimes","not_often","sometimes","not_often",3,1,"sometimes","run","hundreds","tens","few",1,0,0,1,1,1,0,0,0,0,0,1,0,1,2,2,3,1,3,3,2,4,1,4,4,0,3,0,1,2,0,4,3,4,1,4,3,4,2,4,4,3,0,4,4,1,3,3,4,3,2,3,4,2,4,2,2,2,2,2,1,3,2,5,5,3,4,2,3,3,5,21,"tech/assoc_pro","low:phys/sale/serv/assoc_pro","1-2","low"
"185",185,"woman",1989,"single","yes","Wola",6,"no","no","MA+","soc/beh","partial","yes","full","office/service","<=med","high","<=med",2,3,"no_car","apartment","rent","tv","pc","no_tablet","everyday","no_blog/web",15,5,5,6,6,6,4,7,4,6,6,6,3,6,3,4,4,4,"often",5,5,7,5,5,5,6,6,6,5,"many","not_often",5,5,5,5,6,5,7,6,6,6,"few","often",5,4,4,5,6,5,4,6,4,6,4,4,5,4,4,4,5,"everyday",2,2,5,6,4,5,4,5,4,2,6,6,NA,6,"often","not_often","often","sometimes","sometimes","sometimes","often",3,2,"sometimes","ind","tens","few/zero","few",0,0,0,0,1,0,0,0,0,0,NA,0,1,0,2,4,4,4,3,3,4,4,3,4,3,1,4,2,3,3,3,4,0,2,2,2,4,4,1,4,4,4,2,4,3,2,4,2,3,3,3,3,4,3,4,4,2,2,4,2,2,4,1,3,3,2,5,1,5,2,4,25,"cler_sup","low:phys/sale/serv/assoc_pro","2-3","mid/high"
"186",186,"woman",1992,"married","yes","Wola",4,"no","no","BA","STEM/med","full","no","no_job",NA,"<=med","high","high",2,3,"1car+","apartment","rent","tv","pc","no_tablet","everyday","no_blog/web",8,5,2,5,4,5,1,6,5,5,5,5,1,4,1,4,5,2,"not_often",3,6,5,3,2,5,3,5,6,3,"few","not_often",6,3,3,4,4,4,3,7,4,3,"many","not_often",2,2,2,2,4,3,4,1,1,1,1,1,1,1,1,1,1,"everyday",7,2,2,2,2,7,2,2,7,2,5,2,2,2,"not_often","not_often","not_often","not_often","not_often","not_often","often",4,4,"regularly","ind","tens","few/zero","none",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,3,0,2,4,4,0,0,3,3,3,4,1,1,3,4,3,2,4,2,4,2,0,4,4,4,4,4,2,3,5,1,3,1,1,3,3,3,1,1,3,1,4,5,2,3,1,5,1,3,2,1,1,1,1,22,NA,NA,"2-3","mid/high"
"187",187,"woman",1993,"single","yes","Białołęka",3,"no","no","<=highschool+tech","human/lang","full","no","no_job",NA,"high","high","high",1,5,"no_car","apartment","own","tv","pc","tablet","everyday","no_blog/web",5,7,3,6,7,6,7,7,6,7,7,7,4,6,5,5,7,4,"not_often",7,7,6,6,6,7,7,7,7,6,"few","not_often",5,5,5,5,7,7,4,7,5,6,"few","often",6,6,6,5,5,6,6,5,5,5,5,5,5,6,5,5,6,"everyday",4,2,5,5,5,5,3,4,4,4,5,5,4,5,"not_often","not_often","not_often","sometimes","sometimes","sometimes","often",4,1,"sometimes","run","tens","tens","few",1,0,NA,1,1,0,0,0,0,0,0,0,0,0,4,1,4,4,4,4,4,4,1,4,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,2,2,2,3,4,3,4,4,3,4,4,3,2,3,2,3,4,3,4,4,3,4,3,3,3,4,21,NA,NA,"1-2","low"
"188",188,"woman",1995,"single","yes","Bemowo",1,"no","no","<=highschool+tech",NA,"full","no","no_job",NA,"<=med","high","<=med",1,3,"no_car","apartment","rent","no_tv","pc","tablet","everyday","no_blog/web",0,4,5,2,7,4,2,6,6,4,4,4,4,4,4,4,4,4,"not_often",5,5,NA,4,4,7,7,4,6,4,"few","often",4,1,6,4,6,5,6,4,NA,3,"many","not_often",2,5,5,2,4,2,1,4,4,4,4,3.12025316455696,4,4,4,4,4,"everyday",6,2,4,5,4,4,3,4,6,6,6,4,4,5,"not_often","not_often","often","not_often","sometimes","often","often",3,3,"regularly","ind","hundreds","tens","few",1,0,0,1,0,1,0,0,1,0,0,0,1,0,1,3,1,NA,1,4,3,4,3,4,4,2,3,0,4,3,4,4,2,3,4,0,4,3,4,3,4,4,2,4,3,4,3,1,2,2,3,4,3,3,5,4,1,2,3,1,2,5,1,5,3,2,5,2,4,2,3,19,NA,NA,"1-2","low"
"189",189,"woman",1995,"single","yes","Ochota",19,"no","no","<=highschool+tech","STEM/med","partial","yes","full","serv/sales","<=med","high","high",1,3,"no_car","apartment","other","tv","no_pc","no_tablet","everyday","no_blog/web",1,6,3,4,5,4,2,7,3,5,6,5,1,4,1,1,5,4,"often",2,5,5,2,5,6,5,7,6,3,"many","not_often",5,3,5,4,5,6,2,7,5,3,"many","not_often",5,6,6,4,4,5,4,4,2,4,2,2,5,2,4,2,4,"everyday",2,3,3,6,2,6,5,3,7,5,5,2,3,5,"not_often","not_often","often","not_often","not_often","often","not_often",3,2,"sometimes","run","tens","tens","many",0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,3,4,0,4,4,0,2,4,3,1,2,0,4,1,4,4,0,4,4,4,4,4,0,4,4,4,4,4,3,1,1,3,2,4,3,4,3,3,2,3,2,2,4,2,2,2,2,4,4,2,4,4,4,2,4,19,"serv/sales","low:phys/sale/serv/assoc_pro","1-2","low"
"190",190,"woman",1992,"single","yes","Targówek",22,"no","no","<=highschool+tech","law/biz/menag","full","no","no_job",NA,"<=med","high","high",0,3,"no_car","other","own","tv","pc","tablet","everyday","no_blog/web",1,4,7,6,6,6,2,7,6,6,6,6,1,6,2.97368421052632,5,6,6,"not_often",3,4,5,6,2,6,5,6,6,6,"few","often",2,2,4,6,6,2,3,7,5,2,"many","often",6,6,5,4,6,6,1,6,5,6,2.77777777777778,3.12025316455696,5,3.01123595505618,3.82828282828283,5,6,"everyday",1,1,4,2,4,5,4,4,5,3,7,1,7,6,"not_often","often","not_often","not_often","not_often","not_often","often",5,3,"regularly","ind","hundreds","tens","few",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,4,0,2,4,3,0,4,4,0,0,0,1,4,4,4,1,4,0,4,4,4,0,4,4,4,0,4,4,1,1,5,4,5,5,4,4,3,1,1,2,3,4,1,5,3,3,4,1,1,2,3,4,1,1,22,NA,NA,"0-1","low"
"191",191,"woman",1992,"single","yes","Praga Południe",2,"no","no","<=highschool+tech","STEM/med","full","yes","flexible","serv/sales","high","high","high",0,3,"no_car","apartment","rent","tv","pc","no_tablet","everyday","no_blog/web",1,6,1,4,2,3,2,2,5,6,6,6,1,7,2.97368421052632,3,6,1,"not_often",4,4,1,1,5,4,7,7,5,5,"few","not_often",1,5,5,1,3,3,2,5,4,2,"few","not_often",4,4,5,2,6,6,1,7,4,5,2,3.12025316455696,7,6,4,1,4,"everyday",3,5,1,6,2,5,3,1,2,3,6,6,1,7,"not_often","not_often","not_often","not_often","sometimes","sometimes","never",1,1,"rarely/never",NA,"tens","few/zero","few",0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,3,4,4,0,3,4,3,0,4,4,0,4,3,4,4,4,4,2,4,4,4,4,4,2,4,4,4,4,4,3,1,2,1,1,3,2,4,4,3,5,1,1,1,5,1,1,4,1,5,5,5,4,1,4,3,5,22,"serv/sales","low:phys/sale/serv/assoc_pro","0-1","low"
"192",192,"woman",1992,"nf_rel","yes","Śródmieście",2,"no","no","BA","human/lang","full","no","no_job",NA,"<=med","<=med","<=med",0,3,"no_car","apartment","rent","no_tv","pc","no_tablet","everyday","blog/web",0,NA,NA,NA,NA,NA,NA,NA,NA,5,5,5,1.93854748603352,5,2.97368421052632,4.13609467455621,5,3,"not_often",5,5,6,4,5,5,2,6,6,5,"few","not_often",5,3,5,6,6,6,7,6,3,3,"many","not_often",6,6,6,6,3,6,5,6,3,6,2.77777777777778,6,3,4,4,4.26666666666667,5,"everyday",7,5,5,4,4,3,1,2,3,5,3,4,5,7,"not_often","not_often","not_often","not_often","sometimes","not_often","never",1,1,"rarely/never",NA,"tens","tens","few",1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,2,2,1,3,3,2,4,1,3,1,2,3,1,2,4,4,1,4,4,1,4,4,2,4,4,4,4,4,3,4,1,1,2,2,2,4,3,2,3,4,1,2,5,1,1,4,1,4,4,2,1,1,4,4,5,22,NA,NA,"0-1","low"
"193",193,"woman",1995,"nf_rel","yes","Mokotów",2,"no","no","<=highschool+tech","law/biz/menag","full","no","no_job",NA,"high","high","don't_know",0,4,"no_car","apartment","rent","no_tv","pc","no_tablet","everyday","blog/web",0,NA,NA,NA,NA,NA,NA,NA,NA,4,1,2,5,7,6,7,1,1,"often",4,7,5,7,7,1,7,4,5,6,"many","not_often",5,7,2,7,4,4,5,3,7,4,"many","often",7,7,6,5,3,4,1,1,4,7,2.77777777777778,3.12025316455696,1,4,3,4,4,"everyday",7,6,5,5,3,1,1,5,1,5,4,6,6,7,"often","not_often","often","sometimes","sometimes","not_often","not_often",1,1,"sometimes","ind","hundreds","hundreds+","many",1,0,1,0,0,1,0,0,0,0,0,1,1,0,2,1,4,4,4,4,4,0,4,4,4,4,4,0,1,4,4,4,0,4,2,0,4,4,3,4,4,4,4,4,3,1,1,1,4,4,3,4,4,2,5,2,1,1,4,1,1,4,2,5,3,4,4,1,4,NA,5,19,NA,NA,"0-1","low"
"194",194,"woman",1993,"single","yes","Mokotów",2,"no","no","<=highschool+tech","human/lang","full","no","no_job",NA,"high","<=med","<=med",1,3,"no_car","other","other","no_tv","pc","no_tablet","everyday","no_blog/web",0,6,1,5,6,3,5,7,5,4,4,4,1.93854748603352,4,2.97368421052632,4,4,3.10285714285714,"not_often",5,7,6,6,7,6,5,6,6,6,"few","often",6,7,5,5,6,NA,5,6,7,5,"few","not_often",6,4,5,5,5,4,1,4,6,7,2.77777777777778,3.12025316455696,6,6,6,6,4.36612021857924,"everyday",7,5,5,2,2,4,2,6,5,6,6,5,6,6,"often","not_often","not_often","sometimes","sometimes","sometimes","not_often",1,1,"regularly","run","hundreds","tens","few",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,4,2,4,4,4,4,4,4,3,3,1,1,3,1,3,0,3,0,0,0,3,0,3,3,3,0,3,2,3,4,1,1,1,2,4,3,2,3,1,1,2,3,4,1,2,1,3,2,1,2,1,3,1,3,21,NA,NA,"1-2","low"
"195",195,"woman",1992,"single","yes","Ochota",4,"no","no","BA","STEM/med","full","yes","flexible","analyst","high","high","high",2,4,"1car+","apartment","own","tv","pc","no_tablet","everyday","no_blog/web",1,2,5,2,4,3,1,5,4,3,4,4,1,5,1,1,1,5,"not_often",3,3,1,3,1,3,4,7,4,4,"few","often",1,1,5,4,5,4,4,7,5,4,"few","often",5,4,2,3,1,3,1,5,1,5,1,1,1,1,1,1,5,"everyday",1,1,7,2,1,2,1,1,4,7,4,1,6,5,"often","not_often","not_often","not_often","not_often","sometimes","often",5,1,"sometimes","ind","hundreds","hundreds+","many",0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,3,4,4,4,3,2,2,4,4,0,4,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,1,1,4,2,4,5,4,5,4,5,2,2,1,4,1,1,5,1,5,5,3,5,1,5,5,5,22,"pro","high:mng/pro/self","2-3","mid/high"
"196",196,"woman",1993,NA,"yes","Mokotów",3,"no","yes","BA","STEM/med","full","no","no_job",NA,"high","high","high",1,3,"no_car","apartment","rent","no_tv","pc","no_tablet","everyday","no_blog/web",0,2,2,4,1,7,1,6,7,4,4,4,1,6,4,6,7,4,"often",2,3,7,7,7,5,7,3,4,6,"many","often",4,7,4,7,7,3,7,4,5,6,"many","not_often",7,4,4,4,4,4,4,4,4,7,4,4,4,4,4,4,4,"everyday",7,2,7,4,6,4,1,2,4,3,5,4,4,7,"not_often","not_often","not_often","sometimes","often","sometimes","not_often",1,1,"sometimes","run","thousands","hundreds+","many",1,0,0,1,1,1,0,0,1,0,0,0,0,0,3,2,4,4,4,4,4,4,4,4,4,1,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,2,4,1,3,1,2,2,1,1,5,1,2,1,1,3,1,4,1,5,3,1,3,1,1,1,3,21,NA,NA,"1-2","low"
"197",197,"woman",1990,"single","yes","Żoliborz",24,"no","yes","BA","human/lang","full","yes","part","marketing/PR","<=med","high","<=med",1,3,"no_car","apartment","own","tv","pc","no_tablet","everyday","no_blog/web",3,1,1,1,5,1,1,7,1,5,4,1,1,1,1,4,2,1,"often",6,2,6,5,5,2,4,3,4,3,"many","often",3,6,1,5,6,1,4,6,3,6,"many","often",6,6,5,4,6,1,1,1,1,5,1,1,1,1,1,1,2,"everyday",6,2,3,2,7,2,2,7,3,7,3,2,6,7,"not_often","not_often","not_often","often","often","not_often","never",1,1,"regularly","ind","hundreds","hundreds+","few",1,0,1,0,0,0,0,0,1,0,0,0,1,0,4,3,3,4,4,3,4,1,4,4,4,2,4,4,4,4,4,4,3,4,4,2,4,4,4,4,4,4,2,4,2,4,5,1,2,1,2,2,3,1,4,1,2,1,2,1,3,2,1,1,1,3,2,1,1,1,5,24,"pro","high:mng/pro/self","1-2","low"
"198",198,"woman",1993,"single","yes","Praga Południe",21,"no","no","<=highschool+tech","STEM/med","full","no","no_job",NA,"<=med","high","don't_know",0,3,"no_car","apartment","own","tv","pc","no_tablet","everyday","no_blog/web",4,5,6,7,5,7,2,7,7,4,4,5,3,3,3,NA,4,7,"often",4,7,3,6,7,6,5,6,7,3,"many","often",4,7,7,4,5,4,2,7,7,4,"many","often",7,7,7,7,7,7,4,4,4,4,4,4,4,4,4,4,4,"everyday",5,6,6,1,1,5,1,4,2,6,5,4,4,7,"often","not_often","often","sometimes","sometimes","sometimes","often",5,1,"regularly","ind","hundreds","hundreds+","few",1,0,0,0,1,1,0,0,0,0,0,0,0,1,2,2,0,0,0,2,2,1,2,3,4,0,0,0,4,4,2,4,2,4,3,4,4,4,3,4,0,4,0,4,5,1,2,5,5,5,5,5,5,5,4,5,5,2,5,2,5,NA,4,1,2,1,NA,4,5,1,4,21,NA,NA,"0-1","low"
"199",199,"woman",1994,"nf_rel","yes","Wola",20,"no","no","<=highschool+tech","soc/beh","full","no","no_job",NA,"high","<=med","high",4,3,"1car+","other","own","tv","pc","no_tablet","everyday","no_blog/web",3,6,2,5,4,4,2,6,5,5,5,5,1,4.40322580645161,2.97368421052632,3,3.84357541899441,3.10285714285714,"not_often",4,5,5,3,5,3,6,6,5,2,"many","often",1,5,5,4,4,5,4,7,6,3,"many","not_often",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"everyday",6,5,4,2,1,3,1,2,1,4,4,4,4,7,"not_often","not_often","not_often","sometimes","not_often","not_often","never",1,1,"rarely/never",NA,"hundreds","hundreds+","many",1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,4,0,4,3,4,3,1,3,3,3,0,2,4,4,4,3,4,3,0,4,4,0,4,4,4,4,4,3,2,3,4,2,3,4,4,5,5,5,5,1,1,2,3,4,1,1,3,4,2,4,1,3,3,4,20,NA,NA,"4-5","mid/high"
"200",200,"woman",1989,"nf_rel","yes","Ursynów",26,"no","no","BA","human/lang","full","yes","flexible","office/service","don't_know","<=med","don't_know",3,3,"no_car","apartment","rent","tv","pc","tablet","everyday","no_blog/web",5,5,4,5,7,6,1,7,7,5,6,5,2,6,2.97368421052632,7,6,4,"often",5,5,6,5,2,5,7,6,7,4,"many","often",6,6,3,6,6,4,3,4,5,6,"many","often",6,6,6,6,6,5,2,6,3,7,2.77777777777778,3.12025316455696,5,3,6,5,4,"everyday",6,2,6,2,3,6,2,4,5,6,6,6,6,6,"often","not_often","not_often","often","sometimes","not_often","never",1,1,"regularly","ind",NA,NA,"few",1,0,0,1,1,1,0,0,0,0,0,0,1,0,4,1,3,3,3,3,4,0,4,4,4,2,2,2,4,4,4,4,4,0,0,4,4,4,0,4,4,4,3,4,4,1,5,5,2,3,3,2,2,5,5,4,3,1,4,1,5,5,1,3,4,2,5,1,4,3,5,25,"cler_sup","low:phys/sale/serv/assoc_pro","3-4","mid/high"
"201",201,"woman",1994,"nf_rel","yes","Praga Południe",21,"no","no","<=highschool+tech","STEM/med","full","no","no_job",NA,"<=med","high","don't_know",0,3,"1car+","other","own","tv","pc","tablet","everyday","no_blog/web",3,5,5,2,5,1,6,6,5,4,5,5,1,NA,4,4,4,4,"not_often",2,6,6,5,6,2,5,5,5,2,"few","not_often",2,6,5,2,2,1,1,3,4,4,"few","not_often",5,6,5,1,1,1,5,4,2,5,NA,2,2,2,4,4,4,"everyday",5,6,1,4,6,1,4,6,1,1,2,2,6,6,"often","not_often","not_often","not_often","not_often","not_often","not_often",4,1,"regularly","run","hundreds","tens","few",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,4,0,3,4,4,2,2,0,4,4,4,4,0,4,0,0,4,4,0,4,4,4,4,0,3,1,5,5,1,5,5,5,5,3,5,3,3,1,2,1,5,4,1,1,3,1,3,1,3,1,5,20,NA,NA,"0-1","low"
"202",202,"woman",1993,"nf_rel","yes","Ochota",3,"no","no","BA","soc/beh","full","no","no_job",NA,"high","<=med","<=med",0,3,"no_car","apartment","rent","no_tv","pc","no_tablet","everyday","no_blog/web",0,4,NA,4,7,3,4,6,NA,5,6,5,1,6,1,1,5,1,"not_often",2,5,5,2,6,6,5,6,6,5,"many","not_often",3,6,5,3,5,3,3,6,3,3,"few","not_often",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"not_everyday",2,2,5,2,2,2,2,2,2,4,6,2,2,6,"not_often","not_often","not_often","not_often","not_often","sometimes","never",1,3,"rarely/never","ind","hundreds","hundreds+","many",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,4,4,2,1,2,2,4,2,2,0,2,4,4,4,4,4,4,3,4,4,4,2,4,4,4,4,4,4,4,4,1,1,2,1,1,1,3,3,1,1,1,3,3,1,1,1,5,1,1,2,1,2,1,4,21,NA,NA,"0-1","low"
"203",203,"woman",1990,"single","yes","Mokotów",22,"no","no","MA+","law/biz/menag","partial","yes","full","office/service","high","high","<=med",3,4,"no_car","apartment","own","tv","pc","no_tablet","everyday","no_blog/web",100,6,2,7,5,3,6,7,6,5,7,2,1,4.40322580645161,1,4,4,4,"often",3,6,6,7,4,4,3,3,6,5,"many","often",5,2,4,3,5,4,3,4,7,5,"many","not_often",5,7,4,2,2,6,2,6,4,6,4,4,5,4,6,4,4.36612021857924,"not_everyday",4,1,2,5,3,2,3,4,4,3,5,3,5,1,"often","often","often","sometimes","not_often","often","often",2,1,"regularly","ind","hundreds","hundreds+","many",0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,1,4,4,4,4,4,3,0,4,4,3,4,2,3,4,3,4,3,4,3,3,4,3,4,4,4,4,4,4,4,1,3,4,2,4,3,4,5,3,2,2,2,1,2,1,4,4,1,2,4,2,1,2,4,3,5,24,"tech/assoc_pro","low:phys/sale/serv/assoc_pro","3-4","mid/high"
"204",204,"woman",1992,"single","yes","Wola",22,"no","no","BA","human/lang","full","yes","flexible","culture/NGO","<=med","<=med","<=med",0,4,"no_car","apartment","own","tv","pc","no_tablet","everyday","no_blog/web",0,2,3,3,5,5,2,5,6,4,4,4,4,4,4,4,4,4,"not_often",6,5,6,4,2,4,5,4,5,3,"few","often",5,2,4,7,6,2,6,4,5,5,"many","often",5,3,6,4,5,6,4,3,4,5,2.77777777777778,3,4,3,3,6,4,"everyday",5,3,5,6,7,3,4,6,7,7,6,4,6,7,"often","often","not_often","often","sometimes","not_often","not_often",2,2,"sometimes","ind","thousands","tens","many",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,4,3,4,4,2,3,3,4,3,4,2,3,4,3,4,0,4,4,3,4,4,3,4,4,3,2,4,4,1,3,5,4,4,5,5,5,2,3,4,5,2,5,2,5,4,2,4,2,2,4,2,4,1,3,22,"tech/assoc_pro","low:phys/sale/serv/assoc_pro","0-1","low"
"205",205,"woman",1989,"nf_rel","yes","Praga Południe",25,"no","no","<=highschool+tech","human/lang","full","no","no_job",NA,"<=med","high","<=med",0,5,"no_car","apartment","other","tv","pc","no_tablet","everyday","no_blog/web",10,1,3,6,3,2,1,5,6,4,4,3,1.93854748603352,7,3,7,5,1,"often",2,5,7,7,2,2,6,5,5,2,"many","often",7,2,1,5,5,4,1,7,4,4,"many","not_often",6,NA,NA,6,NA,NA,NA,5,3.63265306122449,2,2.77777777777778,5,4,3.01123595505618,6,6,4.36612021857924,"not_everyday",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,6,7,6,"not_often","not_often","not_often","sometimes","not_often","not_often","never",1,1,"regularly","ind","tens","tens","many",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,4,1,4,0,0,3,3,3,2,3,1,2,4,4,4,0,4,0,0,4,4,0,4,4,4,0,4,5,1,1,5,2,5,3,5,5,1,2,1,4,4,2,1,5,1,5,1,1,NA,1,1,5,1,2,25,NA,NA,"0-1","low"
"206",206,"woman",1995,"single","yes","Śródmieście",35,"no","no","<=highschool+tech","human/lang","full","no","no_job",NA,"high","high","<=med",NA,5,"1car+","apartment","family","tv","pc","tablet","everyday","no_blog/web",0,NA,NA,NA,NA,NA,NA,NA,NA,6,6,4,1,6,2.97368421052632,4.13609467455621,4,3.10285714285714,"not_often",6,5,6,5,4,4,6,5,6,3,"few","often",4,4,4,6,7,3,6,5,4,4,"many","not_often",6,6,6,7,4,7,1,4.36683417085427,4,6,2.77777777777778,3.12025316455696,7,3.01123595505618,3,7,4.36612021857924,"everyday",6,2,4,1,2,4,1,4,1,4,5,7,6,6,"often","often","often","often","not_often","not_often","never",1,1,"sometimes","ind","thousands","hundreds+","few",1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2,4,4,4,0,0,0,0,4,4,3,2,2,3,4,2,4,4,4,4,0,4,4,0,4,4,4,4,4,2,1,3,3,3,4,3,3,4,5,5,2,3,1,4,1,3,2,1,3,5,3,3,1,4,4,5,19,NA,NA,NA,NA
"207",207,"woman",1995,"nf_rel","yes","Praga Północ",19,"no","no","<=highschool+tech","human/lang","full","no","no_job",NA,"<=med","high","<=med",0,3,"no_car","apartment","family","no_tv","pc","no_tablet","everyday","blog/web",3,6,3,5,6,5,5,5,6,6,6,1,2,5,4,6,5,2,"not_often",3,5,7,3,3,5,3,5,6,6,"many","often",6,2,5,3,5,6,5,5,6,5,"few","not_often",6,6,5,3,6,5,3,5,5,3,5,3.12025316455696,5,3,3,3,3,"everyday",5,3,5,5,5,5,5,5,6,3,6,5,5,7,"not_often","not_often","often","sometimes","not_often","sometimes","not_often",2,2,"sometimes","ind","hundreds","hundreds+","many",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,4,0,1,2,4,2,2,4,1,2,4,4,4,2,1,2,4,4,3,2,3,2,4,4,4,5,1,1,5,5,4,5,5,4,2,1,4,4,5,4,4,4,5,5,4,1,2,4,2,5,1,1,19,NA,NA,"0-1","low"
"208",208,"woman",1995,"single","yes","Śródmieście",1,"no","no","<=highschool+tech","law/biz/menag","full","no","no_job",NA,"<=med","<=med","high",1,4,"1car+","apartment","rent","no_tv","pc","no_tablet","everyday","no_blog/web",0,7,1,5,2,3,1,7,6,5,4,2,1,6,2.97368421052632,6,6,1,"not_often",6,5,7,7,1,4,6,5,5,2,"few","often",6,1,2,5,3,3,7,3,4,3,"few","not_often",6,2,6,2,1,1,1,6,4,6,4,4,4,4,5,4,6,"everyday",7,5,6,5,7,4,5,3,5,3,4,5,5,7,"often","not_often","not_often","often","sometimes","sometimes","never",1,1,"regularly","ind","tens","few/zero","few",1,0,0,0,0,1,0,0,0,0,0,0,0,0,2,2,4,4,1,1,4,0,4,4,4,3,4,4,4,3,2,4,3,4,2,4,4,4,0,4,4,4,4,4,4,2,1,3,3,4,4,4,4,1,4,4,5,2,4,1,3,5,2,5,2,2,4,1,4,1,4,19,NA,NA,"1-2","low"
