"","id","gender","birth","marital","Wwa","district","timeWwa","children","dog","edu","eduprog","edutime","work","worktime","occup","fatheredu","motheredu","grandedu","income","lifestd","cars","hometype","homestatus","tv","pc","tablet","internet","internetuse","tvtime","tv.a1","tv.a2","tv.a3","tv.a4","tv.a5","tv.a6","tv.a7","tv.a8","tv.b1","tv.b2","tv.b3","tv.b4","tv.b5","tv.b6","tv.b7","tv.b8","tv.b9","moviefreq","movie.a1","movie.a2","movie.a3","movie.a4","movie.a5","movie.a6","movie.a7","movie.a8","movie.a9","movie.a10","movie30","bookfreq","book.a1","book.a2","book.a3","book.a4","book.a5","book.a6","book.a7","book.a8","book.a9","book.a10","book12","pressfreq","press.a1","press.a2","press.a3","press.a4","press.a5","press.a6","press.a7","press.b1","press.b2","press.b3","press.b4","press.b5","press.b6","press.b7","press.b8","press.b9","press.b10","musicfreq","music.a1","music.a2","music.a3","music.a4","music.a5","music.a6","music.a7","music.a8","music.a9","music.a10","music.a11","music.a12","music.a13","music.a14","theater","opera","cinema","art","livemusic","club","sportshow","sportint","football","trainfreq","trainfav","bookquant","cdquant","artquant","socact1","socact2","socact3","socact4","socact5","socact6","socact7","socact8","socact9","socact10","socact11","socact12","socact13","socact14","scknow1","scknow2","scknow3","scknow4","scknow5","scknow6","scknow7","scknow8","scknow9","scknow10","scknow11","scknow12","scknow13","scknow14","scknow15","schelp1","schelp2","schelp3","schelp4","schelp5","schelp6","schelp7","schelp8","schelp9","schelp10","schelp11","schelp12","schelp13","schelp14","schelp15","attgen1","attgen2","attgen3","attgen4","attgen5","attgen6","attgen7","attgen8","attgen9","attmult1","attmult2","attmult3","attmult4","attmult5","attmult6","attmult7","attmult8","attmult9","attmult10","attmult11","attmult12","attmult13","attmult14","attmult15","attmult16","attmult17","attmult18","age","ISCO","ISCObroad","income.f","incomeclass"
"173",173,"man",1989,"married","yes","Wola",26,"no","no","MA+","STEM/med","full","yes","full","science","high","high","don't_know",3,5,"1car+","apartment","family","no_tv","pc","no_tablet","everyday","no_blog/web",0,4,3,2,5,2,2,5,5,4,5,3,2,5,2.97368421052632,4,1,3,"not_often",2,5,5,4,5,3,6,5,3,3,"few","not_often",2,7,4,5,4,2,4,5,5,2,"few","not_often",4,3,1,2,2,2,1,3,4,5,2.77777777777778,1,3,1,4,5,4.36612021857924,"everyday",5,5,6,2,3,2,2,5,4,5,6,4,5,7,"not_often","not_often","not_often","sometimes","sometimes","not_often","never",1,2,"rarely/never","ind","hundreds","tens","none",1,0,0,0,1,0,0,0,0,0,0,0,0,0,4,1,2,3,3,3,3,0,3,4,3,0,1,3,3,4,3,4,4,4,3,3,4,4,3,4,4,4,4,4,4,1,1,5,4,5,5,5,4,3,5,1,2,3,2,1,4,3,4,5,1,3,4,2,5,1,2,25,"pro","high:mng/pro/self","3-4","mid/high"
"174",174,"woman",1990,"single","yes","Mokotów",24,"no","no","BA","law/biz/menag","full","yes","full","office/service","high","high","high",2,5,"1car+","apartment","own","tv","pc","tablet","everyday","no_blog/web",2,3,4,4,6,3,3,6,5,5,5,3,2,5,2.97368421052632,5,5,4,"not_often",3,6,4,3,3,5,3,6,6,5,"many","often",5,2,4,6,5,5,5,6,5,5,"many","often",5,6,6,4,4,4,4,6,2,5,2,2,4,2,4,5,6,"everyday",4,2,5,4,4,5,2,4,5,6,6,2,5,6,"not_often","not_often","often","often","sometimes","often","often",4,4,"regularly","run","thousands","hundreds+","many",0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,2,4,4,4,3,4,1,2,4,4,2,4,2,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,3,1,4,3,3,3,3,3,4,2,4,4,4,2,4,2,4,4,2,3,3,2,4,1,4,2,4,24,"cler_sup","low:phys/sale/serv/assoc_pro","2-3","mid/high"
"175",175,"woman",1994,"single","yes","Bielany",21,"no","no","<=highschool+tech","law/biz/menag","full","yes","part","serv/sales","high","high","high",1,4,"no_car","other","family","tv","pc","no_tablet","everyday","no_blog/web",6,2,1,6,5,4,2,7,5,5,6,5,1.93854748603352,6,2.97368421052632,5,5,3.10285714285714,"not_often",6,5,5,5,2,5,5,6,5,4,"few","often",5,1,4,6,6,3,3,5,5,4,"many","often",5,4,3,7,5,5,1,6,4,6,1,2,7,2,4,7,5,"not_everyday",5,2,5,4,4,3,2,3,2,5,5,5,4,5,"often","often","often","sometimes","not_often","not_often","not_often",2,2,"sometimes","ind","thousands","hundreds+","many",1,1,1,1,1,1,0,0,1,1,0,0,1,0,1,3,4,4,4,3,3,4,3,4,4,2,3,3,2,3,3,4,3,3,2,3,4,4,4,4,4,4,4,3,5,1,2,5,5,4,5,5,5,3,4,2,3,2,5,2,5,4,2,2,2,2,5,2,5,2,2,20,"serv/sales","low:phys/sale/serv/assoc_pro","1-2","low"
"176",176,"man",1993,"single","yes","Bielany",6,"no","yes","<=highschool+tech","law/biz/menag","full","no","no_job",NA,"high","high","high",0,4,"no_car","apartment","own","tv","pc","tablet","everyday","no_blog/web",1,1,7,1,7,1,1,7,4,1,1,1,1,1,1,1,1,4,"often",2,4,4,4,7,2,1,4,5,7,"many","often",5,7,5,4,4,4,1,4,4,4,"many","not_often",3,4,2,2,2,2,1,4,4,4,1,2,1,1,4,4,4,"everyday",3,3,4,5,7,5,7,4,5,4,1,4,4,2,"not_often","not_often","not_often","not_often","not_often","often","often",4,5,"regularly","ind","hundreds","hundreds+","many",0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,4,4,4,4,3,2,3,4,4,4,2,4,4,3,3,4,4,3,3,3,4,4,4,4,4,4,3,4,4,3,1,2,5,2,5,4,4,4,4,3,1,3,2,1,3,4,4,2,3,3,3,3,2,3,2,4,21,NA,NA,"0-1","low"
"177",177,"woman",1990,"single","yes","Praga Południe",24,"no","no","BA","law/biz/menag","partial","yes","flexible","analyst","high","high","<=med",1,4,"no_car","apartment","own","tv","pc","tablet","everyday","no_blog/web",3,2,6,6,3,5,1,6,5,3,3,3,2,5,2,5,2,7,"often",6,5,5,6,6,5,6,5,6,5,"many","often",4,7,5,7,5,1,6,4,6,5,"many","often",4,6,2,6,4,5,1,5,3,6,2,2,5,3,3,6,4,"everyday",5,5,5,1,5,5,1,5,1,3,4,2,7,7,"often","not_often","not_often","sometimes","not_often","sometimes","often",5,3,"regularly","ind","hundreds","hundreds+","few",1,0,1,0,0,0,0,0,0,0,0,0,0,0,4,1,3,3,3,4,3,2,1,4,4,2,4,1,3,4,4,4,3,4,4,3,4,4,4,4,4,4,4,4,4,1,1,5,4,4,4,4,4,2,3,4,4,2,5,2,4,5,3,3,2,2,4,2,4,1,3,24,"pro","high:mng/pro/self","1-2","low"
"178",178,"man",1992,"single","yes","Praga Północ",1,"no","no","BA","law/biz/menag","full","no","no_job",NA,"<=med","<=med","<=med",0,3,"no_car","other","other","no_tv","pc","no_tablet","everyday","no_blog/web",0,5,3,3,5,3,3,6,5,4,4,4,1.93854748603352,4,2.97368421052632,4.13609467455621,3.84357541899441,4,"not_often",4,5,5,5,6,5,4,4,7,6,"few","often",6,5,3,5,4,2,6,1,6,5,"many","often",5,6,4,4,2,2,6,4,2,6,2,2,4,2,2,2,7,"everyday",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"not_often","often","not_often","sometimes","not_often","not_often","not_often",4,1,"regularly","ind","tens","tens","few",1,1,1,0,1,1,0,1,0,0,0,1,1,1,3,3,3,3,1,3,3,NA,2,3,3,3,3,2,3,3,3,3,3,3,3,3,2,3,4,3,3,3,4,3,3,4,3,1,3,3,2,3,3,4,4,2,1,2,2,2,1,4,2,5,4,3,2,2,4,2,3,22,NA,NA,"0-1","low"
"179",179,"woman",1991,"nf_rel","yes","Ursynów",8,"no","no","<=highschool+tech","human/lang","full","no","no_job",NA,"high","<=med","high",1,4,"1car+","apartment","rent","tv","pc","tablet","everyday","no_blog/web",1,2,5,2,7,2,1,7,6,6,5,2,1,1,1,4,4,4,"not_often",4,1,4,1,2,1,2,6,4,2,"many","not_often",4,7,1,1,5,2,4,5,5,7,"many","not_often",6,7,2,2,6,4,1,6,2,4,1,1,2,1,2,1,4,"everyday",5,6,7,5,6,6,1,3,2,6,6,6,NA,7,"not_often","not_often","not_often","sometimes","sometimes","sometimes","often",5,1,"regularly","run","tens",NA,"few",1,1,0,1,0,0,0,0,0,0,0,0,1,1,4,3,2,3,4,3,4,0,0,3,4,3,4,4,4,3,2,4,4,4,3,4,4,4,4,4,4,4,3,4,5,1,1,5,5,4,4,5,5,4,4,5,2,1,3,1,1,2,3,5,4,5,5,4,1,1,4,23,NA,NA,"1-2","low"
"180",180,"man",1990,"single","yes","Praga Południe",6,"no","no","BA","STEM/med","full","yes","flexible","serv/sales","<=med","high","<=med",1,3,"no_car","apartment","rent","tv","pc","no_tablet","everyday","no_blog/web",2,2,6,4,5,4,1,6,7,4,2,4,1,3,7,7,2,6,"often",4,4,5,5,6,3,2,6,6,6,"many","often",5,7,4,4,4,5,4,7,6,6,"many","often",6,5,3,4,4,4,1,5,4,7,4,4,4,4,4,4,6,"everyday",6,5,6,3,3,6,2,4,4,6,2,4,6,7,"not_often","not_often","not_often","sometimes","sometimes","sometimes","often",4,4,"regularly","ind","tens","tens","few",1,0,1,0,1,0,0,0,0,0,0,0,0,1,3,4,2,4,2,3,4,2,2,4,4,2,2,1,3,3,3,4,2,3,4,3,4,3,2,4,4,4,4,4,2,1,3,2,3,4,3,3,4,4,5,3,2,1,4,1,2,3,1,5,4,4,4,2,3,3,5,24,"serv/sales","low:phys/sale/serv/assoc_pro","1-2","low"
"181",181,"woman",1991,"nf_rel","yes","Wawer",13,"no","yes","BA","STEM/med","full","no","no_job",NA,"high","high","high",0,5,"no_car","other","own","tv","pc","no_tablet","everyday","no_blog/web",2,6,2,4,5,3,4,7,6,4,7,4,1,6,2.97368421052632,4,7,3,"often",2,5,3,2,4,5,3,3,7,7,"few","not_often",2,3,5,3,5,4,2,5,6,4,"few","not_often",5,6,7,4,4,4,4,6,3,7,2,3,6,3,6,6,3,"everyday",4,3,5,6,5,4,5,1,4,4,5,5,4,7,"not_often","not_often","often","sometimes","sometimes","sometimes","often",3,2,"regularly","ind","hundreds","tens","few",0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,4,4,4,3,4,2,2,4,4,0,3,4,1,4,4,4,0,4,2,2,4,3,2,4,4,4,4,4,3,1,2,4,4,5,5,5,4,3,1,4,4,4,4,1,3,5,3,3,2,2,4,3,5,2,2,23,NA,NA,"0-1","low"
"NA.11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
