"id","marital","timeWwa","dog","edu","eduprog","edutime","worktime","fatheredu","motheredu","grandedu","income","lifestd","cars","hometype","homestatus","tv","tablet","internetuse","tvtime","tv.a1","tv.a2","tv.a3","tv.a4","tv.a5","tv.a6","tv.a7","tv.a8","tv.b1","tv.b2","tv.b3","tv.b4","tv.b5","tv.b6","tv.b7","tv.b8","tv.b9","moviefreq","movie.a1","movie.a2","movie.a3","movie.a4","movie.a5","movie.a6","movie.a7","movie.a8","movie.a9","movie.a10","movie30","bookfreq","book.a1","book.a2","book.a3","book.a4","book.a5","book.a6","book.a7","book.a8","book.a9","book.a10","book12","pressfreq","press.a1","press.a2","press.a3","press.a4","press.a5","press.a6","press.a7","press.b1","press.b2","press.b3","press.b4","press.b5","press.b6","press.b7","press.b8","press.b9","press.b10","musicfreq","music.a1","music.a2","music.a3","music.a4","music.a5","music.a6","music.a7","music.a8","music.a9","music.a10","music.a11","music.a12","music.a13","music.a14","theater","opera","cinema","art","livemusic","club","sportshow","sportint","football","trainfreq","trainfav","bookquant","cdquant","artquant","socact1","socact2","socact3","socact4","socact5","socact6","socact7","socact8","socact9","socact10","socact11","socact12","socact13","socact14","scknow1","scknow2","scknow3","scknow4","scknow5","scknow6","scknow7","scknow8","scknow9","scknow10","scknow11","scknow12","scknow13","scknow14","scknow15","schelp1","schelp2","schelp3","schelp4","schelp5","schelp6","schelp7","schelp8","schelp9","schelp10","schelp11","schelp12","schelp13","schelp14","schelp15","attgen1","attgen2","attgen3","attgen4","attgen5","attgen6","attgen7","attgen8","attgen9","attmult1","attmult2","attmult3","attmult4","attmult5","attmult6","attmult7","attmult8","attmult9","attmult10","attmult11","attmult12","attmult13","attmult14","attmult15","attmult16","attmult17","attmult18","age","ISCObroad","incomeclass"
36,"nf_rel",10,"no","<=highschool+tech","human/lang","fl_edu","flexible","high","high","high",0,5,"no_car","other","family","tv","no_tablet","no_blog/web",NA,3,4,7,3,6,6,7,4,4,4,3,1,4,1,4,3,4,"sometimes",3,6,4,6,7,3,4,5,4,6,NA,"often",3,6,6,6,3,1,2,4,3,3,15,"sometimes",4,4,4,6,5,5,2,4,3,4,1,1,6,2,3,6,4,"everyday",5,5,4,3,5,2,2,3,5,4,5,6,6,6,"regularly","rarely","regularly","sometimes","rarely","rarely","regularly",3,1,"sometimes","ind","thousands","hundreds","tens+",1,0,0,0,0,1,0,0,1,0,0,0,0,1,4,1,4,4,4,2,4,1,2,4,4,2,0,1,4,4,4,4,3,4,4,3,4,4,2,2,4,4,4,4,5,1,1,5,5,5,5,5,5,2,1,4,4,5,5,3,5,5,5,3,1,2,5,2,5,1,1,25,"high:mng/pro/self","low"
37,"nf_rel",11,"no","<=highschool+tech","soc/beh","fl_edu","no_job","high","high","high",0,4,"no_car","apartment","own","tv","tablet","no_blog/web",0,5,6,6,6,6,4,6,6,4,4,4,4,4,4,4,4,4,"sometimes",3,6,6,5,6,4,4,6,6,6,3,"sometimes",4,4,4,4,5,4,3,4,4,5,6,"often",5,5,5,5,4,5,4,3,5,4,5,5,3,4,4,3,4,"everyday",4,4,4,4,5,4,4,4,5,4,5,5,5,5,"regularly","rarely","regularly","sometimes","rarely","sometimes","rarely",NA,3,"sometimes","ind","hundreds","tens","tens+",0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,1,3,2,2,3,3,1,3,3,3,3,2,1,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,24,"no_job","low"
38,"nf_rel",10,"no","MA+","human/lang","no_fl_edu","full","high","<=med","<=med",2,3,"no_car","apartment","rent","tv","tablet","no_blog/web",1,6,1,6,7,4,1,7,6,6,7,6,1,6,NA,6,6,NA,"often",6,4,7,4,2,6,6,7,6,2,15,"sometimes",6,2,1,6,6,1,5,7,7,6,65,"often",6,4,6,4,6,7,1,6,6,4,4,4,6,4,4,6,4,"everyday",1,1,1,1,7,1,1,1,1,1,6,6,6,6,"regularly","rarely","regularly","regularly","rarely","regularly","rarely",2,2,"regularly","ind","hundreds","few","zero",0,0,1,0,1,1,0,0,0,0,0,0,1,0,4,3,1,4,3,3,3,3,2,4,4,0,3,2,3,NA,1,4,4,4,3,3,3,4,4,4,4,4,4,0,4,1,1,5,5,5,2,5,5,2,2,1,2,2,5,1,1,5,1,5,2,2,5,4,5,1,5,29,"high:mng/pro/self","mid/high"
39,"single",1,"no","<=highschool+tech","human/lang","fl_edu","no_job","high","high","high",NA,NA,"no_car","apartment","rent","tv","no_tablet","blog/web",0,5,2,2,5,2,4,7,5,3,6,3,1,2,NA,5,4,2,"rarely",5,5,5,5,5,5,5,5,5,5,5,"sometimes",5,5,5,5,5,5,5,5,5,5,5,"often",5,5,3,5,4,4,2,5,4,6,4,4,4,3,4,4,4,"everyday",5,4,7,7,7,4,7,5,NA,7,5,5,7,7,"regularly","never","sometimes","regularly","sometimes","regularly","never",1,1,"regularly","ind","hundreds","hundreds","tens+",1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,4,2,3,3,2,4,4,3,2,4,2,3,3,3,4,4,4,3,4,4,3,2,4,3,3,0,4,4,1,1,3,4,4,4,4,4,2,4,5,3,3,5,1,1,5,3,5,2,3,5,1,5,1,3,24,"no_job",NA
40,"single",25,"no","BA","soc/beh","fl_edu","full","high","high","don't_know",2,4,"no_car","apartment","family","tv","no_tablet","no_blog/web",0,5,6,3,7,1,4,7,4,4,5,3,1,5,NA,3,2,5,"sometimes",3,4,5,3,4,1,3,5,2,4,4,"rarely",3,3,4,6,5,1,3,5,7,5,9,"sometimes",5,3,4,7,4,3,1,5,4,5,3,4,4,4,4,7,4,"everyday",3,1,5,1,5,2,1,5,5,5,6,3,5,6,"rarely","rarely","sometimes","sometimes","rarely","sometimes","rarely",3,4,"regularly","ind","thousands","tens","few",1,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,4,4,4,3,1,3,4,4,1,2,0,4,4,4,4,0,4,2,3,4,4,1,4,4,4,4,4,4,1,4,3,2,2,4,3,5,2,5,3,1,1,3,1,1,5,1,1,1,2,2,1,4,1,5,25,"high:mng/pro/self","mid/high"
41,"nf_rel",19,"no","MA+","law/biz/menag","no_fl_edu","full","high","high","<=med",4,4,"1car+","apartment","own","no_tv","no_tablet","no_blog/web",1,3,4,5,5,2,2,6,5,3,3,3,3,3,5,5,2,2,"often",5,2,3,5,5,3,2,5,5,6,5,"sometimes",5,4,2,5,5,2,2,3,5,4,6,"often",4,4,4,4,2,4,3,1,2,2,2,3,2,2,1,1,3,"not_everyday",3,2,6,4,5,5,6,3,6,4,3,5,4,6,"rarely","rarely","sometimes","sometimes","sometimes","regularly","never",2,2,"never","no_sport","hundreds","hundreds","few",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,4,4,4,4,4,2,4,4,4,0,3,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,5,1,2,5,2,4,5,3,4,2,2,4,5,3,4,1,4,3,3,1,3,2,4,1,3,2,3,24,"high:mng/pro/self","mid/high"
42,"single",5,"no","<=highschool+tech","soc/beh","fl_edu","flexible","<=med","high","high",1,3,"no_car","apartment","rent","no_tv","no_tablet","no_blog/web",0,6,1,6,5,6,5,7,7,4,5,5,1,6,4,4,5,1,"sometimes",6,6,7,6,2,5,1,3,6,4,3,"rarely",3,1,3,7,7,1,1,3,7,6,5,"often",7,6,7,6,4,7,1,5,5,7,3,1,5,1,5,5,5,"everyday",7,1,6,5,5,5,1,6,3,6,5,6,7,7,"regularly","rarely","sometimes","rarely","sometimes","regularly","rarely",1,1,"sometimes","rival","tens","few","few",0,0,0,0,0,1,0,0,0,0,0,0,0,0,NA,2,4,4,4,2,4,4,2,4,4,2,3,3,4,4,3,4,3,4,2,2,4,4,3,4,4,4,4,4,5,1,1,3,2,4,4,5,5,4,5,3,2,4,5,1,1,5,2,5,1,1,5,1,5,1,1,NA,"low:phys/sale/serv/assoc_pro","low"
43,"nf_rel",25,"no","MA+","STEM/med","fl_edu","part","<=med","<=med","<=med",2,3,"no_car","apartment","family","tv","tablet","no_blog/web",4,5,1,5,6,4,1,7,5,6,5,5,1,5,1,1,5,1,"often",2,5,3,2,1,1,5,6,1,3,20,"rarely",3,1,3,1,4,2,1,7,7,5,1,"often",6,7,2,4,6,6,4,5,4,5,4,4,4,4,5,4,4,"everyday",4,1,4,5,3,5,1,4,4,5,6,2,4,1,"rarely","never","sometimes","rarely","rarely","rarely","rarely",3,3,"sometimes","ind","hundreds","hundreds","few",0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,4,1,2,4,0,1,4,4,1,2,1,0,4,4,4,4,4,2,4,4,4,2,4,4,4,4,4,4,1,2,3,2,3,4,NA,4,2,4,2,4,1,4,1,4,4,1,3,3,2,4,1,4,1,4,25,"low:phys/sale/serv/assoc_pro","mid/high"
44,"nf_rel",4,"no","BA","law/biz/menag","fl_edu","full","high","<=med","don't_know",3,3,"1car+","other","other","no_tv","no_tablet","no_blog/web",1,4,1,4,4,4,2,6,5,4,4,4,2,3,NA,3,3,2,"sometimes",4,5,6,4,4,5,5,5,6,4,3,"often",5,4,6,6,6,4,6,7,5,4,40,"sometimes",4,4,4,4,4,4,4,4,4,4,4,4,5,4,5,4,4,"not_everyday",5,3,6,1,4,6,1,3,4,4,4,2,4,6,"rarely","rarely","sometimes","rarely","rarely","sometimes","never",1,1,"sometimes","ind","hundreds","few","zero",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,2,3,4,0,0,2,3,0,2,0,3,3,4,4,0,3,2,4,4,4,0,3,2,4,4,4,3,3,4,2,2,3,2,3,3,4,4,2,2,2,3,2,2,2,2,3,3,2,2,2,3,2,4,25,"high:mng/pro/self","mid/high"
45,"single",3,"no","<=highschool+tech","human/lang","no_fl_edu","flexible","<=med","high","don't_know",1,3,"no_car","apartment","rent","no_tv","tablet","no_blog/web",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"often",6,5,6,4,4,5,4,5,6,4,10,"often",5,2,3,5,5,3,6,6,4,4,12,"rarely",4,4,4,4,6,6,3,7,7,7,7,7,5,7,7,7,7,"everyday",7,1,4,4,5,5,1,6,4,7,4,5,6,5,"regularly","regularly","regularly","sometimes","sometimes","sometimes","rarely",3,3,"sometimes","ind","hundreds","few","few",1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,3,3,4,2,3,4,2,4,2,4,1,4,2,3,0,2,4,0,4,2,4,4,4,4,4,4,4,4,4,5,1,1,3,1,4,3,3,4,3,4,4,2,3,5,3,2,5,2,5,3,2,4,4,4,4,5,21,"low:phys/sale/serv/assoc_pro","low"
