"id","marital","timeWwa","dog","edu","eduprog","edutime","worktime","fatheredu","motheredu","grandedu","income","lifestd","cars","hometype","homestatus","tv","tablet","internetuse","tvtime","tv.a1","tv.a2","tv.a3","tv.a4","tv.a5","tv.a6","tv.a7","tv.a8","tv.b1","tv.b2","tv.b3","tv.b4","tv.b5","tv.b6","tv.b7","tv.b8","tv.b9","moviefreq","movie.a1","movie.a2","movie.a3","movie.a4","movie.a5","movie.a6","movie.a7","movie.a8","movie.a9","movie.a10","movie30","bookfreq","book.a1","book.a2","book.a3","book.a4","book.a5","book.a6","book.a7","book.a8","book.a9","book.a10","book12","pressfreq","press.a1","press.a2","press.a3","press.a4","press.a5","press.a6","press.a7","press.b1","press.b2","press.b3","press.b4","press.b5","press.b6","press.b7","press.b8","press.b9","press.b10","musicfreq","music.a1","music.a2","music.a3","music.a4","music.a5","music.a6","music.a7","music.a8","music.a9","music.a10","music.a11","music.a12","music.a13","music.a14","theater","opera","cinema","art","livemusic","club","sportshow","sportint","football","trainfreq","trainfav","bookquant","cdquant","artquant","socact1","socact2","socact3","socact4","socact5","socact6","socact7","socact8","socact9","socact10","socact11","socact12","socact13","socact14","scknow1","scknow2","scknow3","scknow4","scknow5","scknow6","scknow7","scknow8","scknow9","scknow10","scknow11","scknow12","scknow13","scknow14","scknow15","schelp1","schelp2","schelp3","schelp4","schelp5","schelp6","schelp7","schelp8","schelp9","schelp10","schelp11","schelp12","schelp13","schelp14","schelp15","attgen1","attgen2","attgen3","attgen4","attgen5","attgen6","attgen7","attgen8","attgen9","attmult1","attmult2","attmult3","attmult4","attmult5","attmult6","attmult7","attmult8","attmult9","attmult10","attmult11","attmult12","attmult13","attmult14","attmult15","attmult16","attmult17","attmult18","age","ISCObroad","incomeclass"
46,"single",25,"no","<=highschool+tech","soc/beh","fl_edu","flexible","high","high","high",1,3,"1car+","apartment","own","no_tv","no_tablet","blog/web",0,NA,NA,NA,NA,NA,NA,NA,NA,3,5,3,1,6,NA,5,3,4,"often",5,6,6,2,3,2,2,6,3,3,10,"sometimes",5,1,2,2,5,2,4,5,5,2,12,"sometimes",5,3,3,4,5,6,1,6,2,2,2,2,6,2,2,6,2,"everyday",4,5,7,6,3,7,3,6,6,5,5,5,7,7,"rarely","rarely","sometimes","sometimes","sometimes","regularly","regularly",5,5,"regularly","rival","hundreds","hundreds","few",1,0,0,1,1,0,0,0,0,0,0,0,0,1,4,3,3,4,4,4,4,3,3,4,4,0,4,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,1,2,5,5,5,5,5,5,2,4,5,4,2,4,2,5,5,4,5,1,2,5,1,5,4,2,25,"low:phys/sale/serv/assoc_pro","low"
47,"nf_rel",6,"no","<=highschool+tech","soc/beh","fl_edu","no_job","high","high","<=med",0,3,"no_car","apartment","own","no_tv","no_tablet","no_blog/web",0,6,4,6,6,6,2,7,7,5,6,4,1,6,1,6,4,4,"sometimes",6,6,6,6,4,6,4,6,6,6,5,"sometimes",6,3,4,5,5,4,4,7,6,4,10,"sometimes",6,6,6,5,5,6,6,5,4,6,1,1,6,1,5,4,4,"everyday",5,5,6,4,3,6,1,5,4,6,6,7,6,7,"regularly","rarely","sometimes","sometimes","sometimes","sometimes","rarely",3,3,"sometimes","ind","hundreds","few","few",0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2,3,4,4,2,4,4,1,3,3,0,3,3,3,0,1,3,4,2,3,4,4,3,1,3,3,4,0,4,3,2,2,3,1,4,3,3,4,4,4,2,3,2,4,2,1,4,2,4,4,3,4,4,4,4,4,25,"no_job","low"
48,"single",26,"no","MA+","soc/beh","no_fl_edu","full","high","high","high",4,4,"no_car","apartment","rent","no_tv","tablet","no_blog/web",0,NA,NA,NA,NA,NA,NA,NA,NA,5,6,4,1,6,2,4,4,4,"sometimes",4,6,5,3,7,5,7,5,5,4,5,"sometimes",5,6,2,5,5,4,5,3,5,2,15,"often",6,5,3,4,5,5,1,5,4,4,1,2,6,2,4,5,5,"everyday",6,3,5,4,7,2,2,6,4,5,6,4,6,5,"regularly","regularly","regularly","regularly","sometimes","regularly","regularly",1,1,"regularly","run","hundreds","hundreds","few",1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,2,3,3,3,4,2,3,4,3,4,2,2,3,3,4,3,4,2,4,3,2,3,4,3,4,4,4,4,4,4,3,3,4,4,4,5,4,4,3,4,4,4,2,4,1,4,5,2,4,3,3,4,1,5,1,5,26,"high:mng/pro/self","mid/high"
49,"single",5,"no","<=highschool+tech","soc/beh","fl_edu","flexible","<=med","high","high",1,3,"no_car","apartment","rent","no_tv","no_tablet","no_blog/web",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"sometimes",7,7,6,5,6,4,3,5,7,6,3,"sometimes",7,6,6,6,5,5,6,4,7,6,5,"often",7,7,6,4,6,6,5,6,5,6,4,4,4,4,4,6,4,"everyday",5,4,7,7,7,5,6,6,4,6,6,5,6,7,"regularly","regularly","regularly","regularly","regularly","regularly","rarely",3,2,"regularly","ind","hundreds","hundreds","tens+",1,0,0,0,1,1,0,0,0,0,0,0,1,0,4,3,3,4,3,4,4,3,4,3,4,3,2,3,4,4,4,4,3,4,4,4,4,4,3,4,4,4,4,4,4,3,3,1,3,3,4,4,4,1,5,5,2,1,5,1,3,4,1,4,3,3,5,1,4,2,5,23,"high:mng/pro/self","low"
50,"single",20,"no","BA","soc/beh","fl_edu","full","high","high","<=med",2,4,"no_car","apartment","family","no_tv","no_tablet","no_blog/web",1,5,1,4,5,4,5,7,5,5,7,5,1,4,4,4,4,2,"often",7,7,6,5,7,5,5,6,6,5,7,"sometimes",5,7,6,7,7,5,5,7,6,5,6,"sometimes",6,4,6,5,4,4,3,5,4,6,4,4,4,3,4,4,4,"not_everyday",7,2,4,3,6,1,1,3,3,4,6,5,6,6,"regularly","rarely","regularly","sometimes","sometimes","sometimes","rarely",2,3,"sometimes","ind","hundreds","tens","few",1,0,0,0,0,1,0,0,1,0,0,0,0,0,3,4,4,4,4,3,4,0,4,4,4,3,4,4,4,4,3,4,2,4,3,3,4,4,3,4,4,4,4,4,3,1,3,4,3,3,4,4,4,5,5,4,2,1,5,2,1,5,1,3,4,2,5,1,5,3,5,24,"low:phys/sale/serv/assoc_pro","mid/high"
51,"single",1,"no","MA+","soc/beh","no_fl_edu","full","<=med","high","<=med",2,3,"no_car","apartment","own","tv","no_tablet","no_blog/web",1,3,1,5,2,7,7,5,7,1,7,4,1,7,1,1,7,1,"rarely",1,1,7,1,4,1,3,4,2,1,3,"rarely",7,4,1,1,1,7,1,1,7,7,1,"rarely",6,1,4,2,5,1,7,6,1,5,1,1,6,1,1,1,7,"everyday",1,7,4,1,4,4,4,1,1,1,5,7,7,7,"regularly","rarely","sometimes","sometimes","sometimes","never","rarely",1,1,"regularly","rival","hundreds","few","few",1,0,0,1,1,1,1,0,1,0,0,0,0,0,4,4,4,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,4,4,4,4,4,4,4,4,5,1,1,5,5,5,5,5,5,1,4,3,5,1,5,5,5,5,1,1,3,3,5,1,5,1,5,25,"high:mng/pro/self","mid/high"
52,"single",4,"no","MA+","human/lang","no_fl_edu","full","high","high","<=med",2,3,"no_car","apartment","rent","no_tv","no_tablet","no_blog/web",0,NA,NA,NA,NA,NA,NA,NA,5,5,7,6,NA,5,NA,5,5,2,"sometimes",3,5,7,6,2,5,7,6,6,4,2,"sometimes",5,2,4,7,6,1,6,NA,6,6,10,"often",5,5,4,7,2,6,2,7,4,6,1,4,7,3,5,6,4,"everyday",5,4,2,2,5,2,1,2,1,2,7,2,5,7,"regularly","rarely","regularly","regularly","sometimes","sometimes","rarely",2,1,"sometimes","ind","tens","few","zero",0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,3,1,4,3,4,4,0,0,4,4,2,1,1,4,4,4,4,3,4,2,4,4,4,1,4,4,4,4,4,3,3,3,2,3,4,4,NA,2,4,4,4,3,2,4,1,1,5,1,5,4,4,4,2,4,3,5,24,"high:mng/pro/self","mid/high"
53,"single",5,"no","<=highschool+tech","soc/beh","fl_edu","full","<=med","high","<=med",2,4,"no_car","apartment","family","tv","no_tablet","no_blog/web",3,6,3,6,7,6,4,7,7,4,6,5,1,6,NA,7,7,4,"sometimes",NA,3,5,7,4,5,7,4,7,5,5,"sometimes",7,2,2,6,5,6,6,5,7,4,4,"often",4,7,7,6,5,5,4,6,4,4,1,2,6,4,4,6,4,"everyday",7,1,3,4,7,1,5,3,3,6,6,4,6,6,"regularly","rarely","regularly","sometimes","regularly","regularly","regularly",3,3,"sometimes","ind","tens","few","few",1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,3,4,2,1,4,1,1,2,4,0,1,2,3,4,3,4,4,4,3,4,3,4,3,4,4,4,4,4,4,1,2,4,4,4,5,5,5,4,4,3,4,2,5,2,3,5,2,5,3,2,5,3,5,3,4,24,"high:mng/pro/self","mid/high"
54,"nf_rel",25,"yes","MA+","soc/beh","no_fl_edu","flexible","high","high","high",2,4,"1car+","apartment","own","tv","no_tablet","no_blog/web",1,5,2,6,6,5,2,6,5,5,5,6,1,6,2,6,7,1,"sometimes",3,2,2,2,2,3,2,5,5,3,3,"often",6,2,3,4,6,3,3,7,7,7,10,"often",7,7,4,6,6,7,3,6,4,6,4,5,6,4,6,7,5,"not_everyday",4,1,7,1,2,5,1,1,1,7,5,3,6,6,"rarely","never","sometimes","rarely","rarely","never","never",1,1,"regularly","ind","hundreds","tens","few",0,0,0,0,0,0,0,NA,NA,0,0,0,1,0,4,4,1,NA,3,4,4,4,0,4,4,0,4,1,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,1,5,3,5,5,4,3,4,4,4,4,5,4,3,4,4,4,4,2,NA,4,3,5,2,4,24,"high:mng/pro/self","mid/high"
55,"nf_rel",8,"no","<=highschool+tech","soc/beh","fl_edu","no_job","<=med","<=med","<=med",NA,4,"no_car","apartment","own","tv","no_tablet","no_blog/web",1,4,4,4,6,3,4,5,7,4,4,4,4,4,4,4,4,4,"rarely",4,4,4,4,5,5,4,4,6,4,1,"often",4,5,4,4,4,4,4,6,4,4,25,"rarely",4,4,4,4,4,4,4,4,4,6,4,4,4,4,4,4,4,"everyday",NA,5,4,5,4,4,4,4,4,4,4,4,4,5,"rarely","rarely","regularly","rarely","sometimes","sometimes","regularly",4,4,"sometimes","run","tens","few","few",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,2,3,4,0,0,3,4,0,2,2,0,4,4,4,2,2,2,2,4,3,2,4,4,4,2,4,4,2,1,3,2,4,3,4,5,3,4,2,1,4,4,2,3,3,3,4,2,3,3,4,3,3,3,24,"no_job",NA
56,"nf_rel",5,"no","MA+","soc/beh","no_fl_edu","flexible","high","high","high",2,3,"no_car","apartment","rent","no_tv","tablet","no_blog/web",0,4,4,5,3,4,1,5,6,4,4,4,2,4,2,5,4,4,"sometimes",6,5,5,5,5,4,4,5,5,5,5,"often",6,6,6,6,6,3,6,6,6,6,30,"often",6,4,6,6,4,5,2,3,3,6,2,4,3,3,4,6,5,"not_everyday",6,6,6,5,4,6,3,6,6,6,4,6,6,6,"regularly","rarely","sometimes","sometimes","rarely","sometimes","rarely",4,3,"regularly","ind","tens",NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,3,4,4,3,4,3,3,4,4,2,4,4,4,4,3,4,4,4,4,3,4,4,3,4,4,4,4,4,4,1,2,3,4,3,4,4,4,3,3,2,4,3,4,2,3,4,4,5,2,2,4,2,4,2,3,23,"high:mng/pro/self","mid/high"
57,"single",5,"yes","MA+","leisure","fl_edu","flexible","high","high","high",0,3,"no_car","apartment","own","tv","tablet","no_blog/web",2,5,4,7,5,6,4,7,5,7,7,7,1,7,1,7,4,4,"often",4,6,6,7,5,7,7,6,7,6,5,"often",7,4,4,5,6,3,5,6,6,4,12,"often",6,4,5,7,5,4,5,6,5,7,5,4,5,5,6,6,5,"everyday",4,3,6,3,4,6,1,5,3,6,5,5,5,6,"regularly","rarely","regularly","sometimes","sometimes","sometimes","regularly",5,3,"regularly","run","hundreds","hundreds","tens+",1,0,0,0,0,1,0,0,0,0,0,0,1,0,4,2,4,4,4,4,4,4,4,4,4,0,4,0,4,4,3,4,3,4,2,4,4,4,3,4,4,4,4,4,3,1,1,4,4,3,4,4,5,3,4,4,3,4,4,4,4,4,3,4,4,4,4,4,4,4,3,24,"high:mng/pro/self","low"
58,"single",10,"no","MA+","leisure","no_fl_edu","full","<=med","<=med","<=med",2,2,"no_car","apartment","rent","no_tv","no_tablet","no_blog/web",1,6,4,6,3,6,1,7,6,5,3,3,4,3,4,5,5,4,"rarely",3,3,7,3,3,5,3,3,5,3,3,"often",6,3,3,5,5,6,5,3,3,5,10,"sometimes",5,6,6,3,5,5,1,2,5,5,6,6,1,6,2,3,6,"everyday",4,4,6,2,3,6,1,3,6,6,5,5,5,7,"regularly","never","sometimes","sometimes","rarely","rarely","rarely",2,1,"sometimes","run","hundreds","tens","few",0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,1,1,2,0,1,4,2,4,3,1,4,2,0,4,3,4,3,0,4,0,4,1,2,0,4,4,4,0,5,2,1,2,2,4,4,3,4,2,3,2,3,4,5,3,2,2,5,5,1,2,5,2,4,1,1,28,"high:mng/pro/self","mid/high"
59,"nf_rel",NA,"no","<=highschool+tech","no_uni_edu",NA,"flexible","<=med","high","high",4,5,"1car+","apartment","rent","tv","no_tablet","no_blog/web",20,6,7,5,6,3,4,7,4,7,7,7,NA,NA,NA,NA,NA,7,"often",1,7,1,1,5,5,1,7,7,7,10,"rarely",1,1,1,1,1,1,1,1,1,1,0,"rarely",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"everyday",1,1,1,7,6,5,1,1,6,1,6,1,6,1,"rarely","never","rarely","rarely","sometimes","regularly","regularly",5,5,"never","no_sport","tens","few","few",1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,23,"high:mng/pro/self","mid/high"
60,"nf_rel",12,"no","BA","leisure","no_fl_edu","no_job","<=med","<=med","<=med",0,3,"no_car","apartment","own","tv","no_tablet","no_blog/web",5,3,3,3,5,3,3,6,3,4,6,5,NA,5,NA,NA,6,3,"sometimes",4,5,5,3,3,4,5,5,5,5,2,"often",2,2,2,2,2,6,2,7,4,4,24,"rarely",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"not_everyday",3,3,3,4,5,4,5,2,5,3,5,2,2,4,"rarely","never","rarely","rarely","rarely","rarely","regularly",3,1,"regularly","ind","hundreds","hundreds","tens+",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,4,3,0,4,0,0,3,3,0,3,0,0,0,2,4,0,4,0,0,4,2,0,4,4,4,0,4,2,2,2,2,2,3,2,3,4,3,4,3,1,2,3,1,4,3,1,4,4,3,3,3,3,3,4,24,"no_job","low"
61,"single",24,"no","MA+","leisure","fl_edu","no_job","<=med","<=med","don't_know",0,3,"no_car","apartment","own","tv","tablet","no_blog/web",1,5,7,7,6,5,7,6,7,7,7,7,4,5,NA,NA,1,7,"sometimes",1,7,4,1,7,NA,1,5,5,7,2,"rarely",5,4,4,4,4,7,4,4,7,7,3,"often",6,7,4,4,4,7,7,7,4,4,4,4,1,7,4,4,4,NA,1,1,1,7,1,5,5,1,5,3,7,1,1,5,"rarely","never","sometimes","rarely","rarely","regularly",NA,5,5,"regularly","rival","tens","few","zero",1,0,0,1,1,0,0,NA,0,0,0,0,0,1,2,2,2,4,3,4,4,1,1,4,3,3,3,2,0,4,4,4,0,4,4,2,4,4,2,4,4,4,4,4,5,1,3,5,5,5,5,5,5,4,3,1,1,3,4,5,5,4,1,1,3,1,4,1,5,1,5,24,"no_job","low"
62,"nf_rel",5,"no","BA","soc/beh","fl_edu","part","<=med","<=med","don't_know",0,3,"no_car","other","own","no_tv","no_tablet","no_blog/web",0,6,2,6,7,2,6,7,6,6,6,6,4,4,4,4,6,4,"often",4,6,6,6,7,6,4,7,6,7,50,"sometimes",5,2,6,4,5,5,1,6,5,5,8,"rarely",4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,"not_everyday",4,4,4,4,4,4,4,4,4,4,4,4,4,4,"regularly","never","sometimes","rarely","rarely","rarely","never",2,1,"regularly","ind","tens","few","few",0,0,1,0,0,1,0,0,0,0,0,0,0,0,3,3,4,4,0,3,4,3,3,3,3,3,3,0,3,4,4,4,4,4,3,4,4,4,3,4,4,4,4,4,2,2,3,1,1,3,2,3,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,25,"low:phys/sale/serv/assoc_pro","low"
63,"nf_rel",8,"no","BA","law/biz/menag","no_fl_edu","full","high","high","high",4,3,"1car+","apartment","own","tv","no_tablet","no_blog/web",1.5,7,6,7,4,7,4,7,6,4,5,5,1,6,4,4,1,6,"sometimes",4,6,4,2,7,4,2,7,7,7,3,"rarely",4,7,4,2,6,5,2,6,7,7,6,"often",7,7,6,5,5,7,2,6,3,7,4,4,4,2,4,3,5,"everyday",2,2,4,7,7,2,6,2,4,4,5,2,2,6,"rarely","never","sometimes","sometimes","rarely","sometimes","regularly",5,2,"regularly","ind","tens","few","few",1,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,2,4,2,3,4,2,1,2,3,2,2,1,2,3,3,4,3,4,3,3,4,2,2,4,4,4,4,4,3,1,3,3,2,3,3,3,4,5,5,1,4,2,2,2,5,5,2,4,4,2,4,1,4,3,3,26,"high:mng/pro/self","mid/high"
64,"nf_rel",25,"yes","BA","leisure","fl_edu","no_job","high","high","<=med",4,2,"1car+","apartment","own","tv","tablet","no_blog/web",2,2,1,NA,1,3,1,3,3,6,5,5,1,5,5,NA,1,1,"often",2,6,NA,4,2,NA,NA,7,7,7,10,"often",1,7,3,NA,7,5,3,5,1,NA,8,"rarely",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"everyday",NA,6,6,6,6,6,6,6,6,6,6,6,6,6,"regularly","regularly","sometimes","sometimes","sometimes","sometimes","regularly",4,1,"regularly","ind","tens","tens","tens+",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,4,2,4,4,0,3,2,4,0,0,4,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,5,1,3,1,4,2,5,1,3,4,2,5,3,5,5,5,4,4,2,4,5,5,1,4,2,5,25,"no_job","mid/high"
66,"single",13,"no","<=highschool+tech","no_uni_edu","fl_edu","no_job","<=med","high","don't_know",NA,4,"no_car","apartment","own","tv","no_tablet","no_blog/web",2,6,5,6,6,4,4,7,6,4,5,5,1,6,NA,5,5,5,"often",4,6,4,6,6,5,5,5,6,6,3,"sometimes",5,6,6,5,5,2,6,4,4,4,9,"rarely",5,6,5,4,4,4,4,4,5,6,4,4,5,4,4,4,4,"everyday",3,5,5,3,1,5,2,4,4,4,4,1,5,6,"rarely","never","sometimes","sometimes","sometimes","rarely","regularly",4,1,"regularly","ind","tens","tens","few",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,4,0,4,4,0,0,1,2,0,3,4,0,4,2,1,4,4,0,4,4,4,0,4,2,3,3,3,3,3,3,3,2,4,3,3,2,2,4,2,3,3,2,3,4,3,4,3,3,3,3,18,"no_job",NA
67,"single",8,"no","MA+","law/biz/menag","no_fl_edu","no_job","high","high","<=med",NA,4,"1car+","apartment","rent","tv","tablet","no_blog/web",1,6,4,6,6,6,5,6,5,4,4,4,1,5,NA,5,7,4,"often",2,5,5,4,5,5,4,5,5,6,11,"often",3,3,4,6,5,3,5,5,6,4,40,"often",5,3,5,4,4,5,4,5,2,7,1,1,4,1,4,5,4,"everyday",6,2,2,4,6,1,3,1,4,1,5,1,5,6,"rarely","rarely","regularly","regularly","sometimes","sometimes","rarely",2,3,"regularly","ind","hundreds","hundreds","tens+",0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,0,1,4,1,4,4,4,0,4,4,3,4,2,4,4,4,2,4,4,4,3,4,3,4,4,4,3,1,4,2,3,3,3,4,3,3,4,4,3,1,5,2,1,5,2,5,2,4,4,2,4,2,4,27,"no_job",NA
68,"nf_rel",10,"yes","<=highschool+tech","soc/beh","fl_edu","flexible","high","high","high",3,4,"1car+",NA,"other","tv","tablet","no_blog/web",0,NA,NA,NA,NA,NA,NA,NA,NA,4,5,4,4,5,4,4,4,4,"sometimes",4,3,6,6,5,5,NA,6,7,5,8,"sometimes",3,2,3,2,4,4,1,6,6,6,15,"often",5,5,3,5,3,4,5,5,4,6,4,4,4,4,5,5,6,"not_everyday",3,1,5,3,2,5,2,4,4,5,5,4,4,4,"regularly","never","regularly","rarely","rarely","never","never",3,2,"regularly","ind","hundreds","hundreds","few",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,4,4,4,3,4,2,2,4,4,1,4,4,2,2,4,4,3,4,3,3,4,4,4,4,4,4,4,4,4,2,2,3,2,4,3,3,3,3,3,2,2,4,2,1,2,4,4,4,2,3,3,4,4,2,2,24,"high:mng/pro/self","mid/high"
69,"single",10,"yes","MA+","STEM/med","no_fl_edu","no_job","high","high","<=med",1,4,"1car+","apartment","own","tv","tablet","no_blog/web",2,7,4,6,6,3,5,7,5,4,NA,6,1,NA,4,4,6,4,"often",2,3,6,3,1,6,5,7,6,2,15,"often",5,1,6,4,6,6,1,7,6,6,10,"often",6,1,6,5,4,5,7,7,5,6,2.81034482758621,3.14792899408284,6,4,6,6,6,"everyday",4,2,4,5,4,6,4,4,5,4,6,4,4,5,"regularly","rarely","regularly","rarely","rarely","rarely","rarely",3,4,"regularly","run","tens","few","few",1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,3,4,3,4,4,4,2,4,4,3,4,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,3,3,4,3,4,4,4,2,2,3,3,4,2,2,4,3,4,3,2,3,3,4,3,3,24,"no_job","low"
70,"single",2,"no","<=highschool+tech","soc/beh","fl_edu","part","<=med","<=med","high",1,3,"no_car","apartment","rent","no_tv","no_tablet","no_blog/web",0,5,2,5,5,3,1,4,5,4,4,4,1,5,4,4,4,2,"rarely",4,2,4,2,2,2,5,6,5,4,1,"often",5,2,3,4,6,5,5,7,6,4,10,"rarely",4,4,4,4,5,5,5,4,4,4,4,4,4,4,4,4,4,"everyday",6,3,4,4,7,4,3,4,4,4,5,4,4,6,"regularly","never","sometimes","sometimes","sometimes","sometimes","rarely",1,1,"sometimes","ind","tens","tens","few",1,0,0,0,0,1,0,0,0,0,0,0,1,0,2,2,3,2,2,4,3,1,4,4,4,0,4,4,4,2,4,4,2,4,3,4,4,4,2,4,4,4,4,4,5,1,2,2,3,5,3,5,4,3,4,3,3,1,5,1,3,5,2,5,2,3,5,1,5,2,3,NA,"high:mng/pro/self","low"
71,"married",6,"no","BA","STEM/med","fl_edu","flexible","high","high","<=med",6,4,"1car+","other","rent","no_tv","no_tablet","no_blog/web",0.1,1,3,5,1,5,1,6,5,5,2,1,2,3,NA,6,1,2,"sometimes",3,3,7,4,1,3,3,5,5,3,4,"often",3,3,5,3,5,1,3,6,5,4,12,"rarely",5,4,4,5,5,5,1,4,5,3,4,3.14792899408284,3,3.04210526315789,5,5,3,"not_everyday",4,3,4,1,1,2,1,2,2,5,3,3,5,5,"rarely","rarely","sometimes","rarely","rarely","rarely","never",2,3,"sometimes","ind","hundreds","hundreds","few",0,0,0,1,1,1,0,0,0,0,0,0,0,0,3,4,2,4,3,4,3,1,4,4,4,0,4,4,4,4,2,4,0,4,3,0,4,4,2,4,4,4,0,4,1,4,5,1,1,1,1,2,4,4,5,2,1,2,4,1,1,4,1,4,1,3,4,2,4,1,4,25,"high:mng/pro/self","mid/high"
72,"nf_rel",26,"no","MA+","soc/beh","no_fl_edu","full","high","high","high",2,4,"1car+","apartment","own","no_tv","no_tablet","no_blog/web",1,1,4,5,4,6,1,6,6,6,1,1,1,1,6,7,5,4,"sometimes",5,3,6,7,4,4,7,7,5,6,2,"often",5,5,6,7,6,4,4,7,6,7,30,"sometimes",3,4,4,7,6,4,1,1,5,4,4,6,1,2,5,2,4,"not_everyday",5,6,5,4,5,2,2,5,2,5,5,7,7,6,"regularly","rarely","sometimes","rarely","sometimes","sometimes","rarely",3,3,"sometimes","ind","hundreds","few","few",1,0,0,1,1,0,0,0,0,0,0,0,0,0,2,4,4,4,4,4,4,1,4,4,4,4,1,2,3,4,4,4,4,4,2,4,4,4,2,3,4,4,4,4,5,1,1,5,4,5,5,4,5,2,2,3,4,3,5,1,5,5,5,5,1,2,5,1,5,1,4,26,"high:mng/pro/self","mid/high"
73,"single",6,"no","MA+","STEM/med","no_fl_edu","flexible","<=med","high","don't_know",4,4,"1car+","apartment","own","tv","no_tablet","blog/web",1,3,5,2,5,2,2,5,5,5,5,5,1,5,NA,1,2,2,"sometimes",3,3,5,2,3,5,5,4,6,7,4,"sometimes",1,2,2,5,5,6,1,6,6,5,10,"sometimes",4,5,4,2,5,3,2,6,3,4.80568720379147,2.81034482758621,3.14792899408284,3,3.04210526315789,5,5,6,"everyday",4,3,3,4,3,4,3,3,3,4,6,4,2,5,"regularly","rarely","regularly","sometimes","sometimes","regularly","regularly",5,1,"regularly","ind","hundreds","few","few",1,0,0,1,1,1,0,0,0,0,0,0,0,1,4,1,3,3,4,2,2,1,2,4,4,4,4,3,1,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,1,2,3,3,3,3,4,3,5,3,1,2,1,4,1,1,4,1,4,3,3,4,1,2,3,5,25,"high:mng/pro/self","mid/high"
74,"single",20,"no","<=highschool+tech","soc/beh","fl_edu","flexible","high","high","<=med",0,4,"no_car","other","own","tv","no_tablet","no_blog/web",2,6,5,6,7,6,5,6,5,5,6,5,1,7,1,6,4,4,"sometimes",5,5,6,5,3,6,7,4,6,6,4,"sometimes",7,4,7,6,6,4,6,5,5,4,3,"often",4,5,4,3,3,5,3,4,5,4,1,2,6,2,4,4,5,"everyday",3,1,4,3,4,4,1,4,1,4,6,4,6,6,"regularly","rarely","sometimes","sometimes","sometimes","rarely","regularly",4,3,"sometimes","ind","hundreds","hundreds","few",1,0,0,0,0,1,0,0,0,0,0,0,0,0,3,2,4,2,3,2,3,3,2,2,4,2,4,2,3,4,4,4,3,4,3,3,3,4,3,4,4,3,3,4,5,1,1,3,4,5,5,5,5,3,2,4,3,4,5,2,2,4,4,2,3,2,5,3,4,1,3,21,"low:phys/sale/serv/assoc_pro","low"
75,"nf_rel",22,"no","MA+","STEM/med","no_fl_edu","flexible","high","high","high",1,4,"no_car","apartment","own","tv","no_tablet","blog/web",0.25,5,2,5,7,2,2,7,7,3,5,2,1,5,4,2,2,2,"often",5,6,7,7,5,5,6,5,6,5,7,"often",7,3,3,5,7,3,5,3,7,7,20,"often",7,4,5,7,5,7,1,4,3,1,1,2,7,1,3,3,7,"everyday",2,1,5,4,5,2,2,5,1,4,4,7,5,4,"rarely","rarely","sometimes","rarely","rarely","sometimes","regularly",5,1,"regularly","rival","thousands","hundreds","tens+",1,0,1,1,1,1,0,0,1,0,0,0,1,1,4,4,4,4,4,4,4,1,3,4,4,2,4,4,4,3,2,3,3,4,3,3,3,4,2,3,3,3,3,2,4,1,2,5,4,5,5,4,4,2,3,1,4,2,5,2,4,3,2,4,2,2,5,2,5,1,5,26,"high:mng/pro/self","low"
