"id","gender","birth","marital","Wwa","district","timeWwa","children","dog","edu","eduprog","edutime","work","worktime","occup","fatheredu","motheredu","grandedu","income","lifestd","cars","hometype","homestatus","tv","pc","tablet","internet","internetuse","tvtime","tv.a1","tv.a2","tv.a3","tv.a4","tv.a5","tv.a6","tv.a7","tv.a8","tv.b1","tv.b2","tv.b3","tv.b4","tv.b5","tv.b6","tv.b7","tv.b8","tv.b9","moviefreq","movie.a1","movie.a2","movie.a3","movie.a4","movie.a5","movie.a6","movie.a7","movie.a8","movie.a9","movie.a10","movie30","bookfreq","book.a1","book.a2","book.a3","book.a4","book.a5","book.a6","book.a7","book.a8","book.a9","book.a10","book12","pressfreq","press.a1","press.a2","press.a3","press.a4","press.a5","press.a6","press.a7","press.b1","press.b2","press.b3","press.b4","press.b5","press.b6","press.b7","press.b8","press.b9","press.b10","musicfreq","music.a1","music.a2","music.a3","music.a4","music.a5","music.a6","music.a7","music.a8","music.a9","music.a10","music.a11","music.a12","music.a13","music.a14","theater","opera","cinema","art","livemusic","club","sportshow","sportint","football","trainfreq","trainfav","bookquant","cdquant","artquant","socact1","socact2","socact3","socact4","socact5","socact6","socact7","socact8","socact9","socact10","socact11","socact12","socact13","socact14","scknow1","scknow2","scknow3","scknow4","scknow5","scknow6","scknow7","scknow8","scknow9","scknow10","scknow11","scknow12","scknow13","scknow14","scknow15","schelp1","schelp2","schelp3","schelp4","schelp5","schelp6","schelp7","schelp8","schelp9","schelp10","schelp11","schelp12","schelp13","schelp14","schelp15","attgen1","attgen2","attgen3","attgen4","attgen5","attgen6","attgen7","attgen8","attgen9","attmult1","attmult2","attmult3","attmult4","attmult5","attmult6","attmult7","attmult8","attmult9","attmult10","attmult11","attmult12","attmult13","attmult14","attmult15","attmult16","attmult17","attmult18","age","ISCO","ISCObroad","income.f","incomeclass"
128,NA,1990,"married","yes","Bemowo",10,"yes","yes","<=highschool+tech",NA,"fl_edu","yes","full",NA,"<=med","<=med","<=med",0,5,"1car+","other","own","tv","pc","tablet","everyday","blog/web",NA,7,7,7,7,7,7,7,7,4.30769230769231,4.57004830917874,3.88942307692308,1.94240837696335,4.385,2.98347107438017,4.13812154696133,3.83854166666667,3.06382978723404,"often",7,7,7,7,7,7,7,7,7,7,NA,"often",7,7,7,7,7,7,7,7,7,7,10,"often",7,7,7,7,7,7,7,4.3785046728972,3.65714285714286,4.80568720379147,2.81034482758621,3.14792899408284,4.06572769953052,3.04210526315789,3.84976525821596,4.27272727272727,4.34517766497462,"everyday",7,7,7,7,7,7,7,7,7,7,7,7,7,7,"regularly","regularly","regularly","regularly","regularly","regularly","regularly",5,5,"regularly","rival","thousands","hundreds","tens+",1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",24,NA,NA,"0-1","low"
129,"man",1988,"single","yes","Wola",1,"no","no","BA","law/biz/menag","fl_edu","yes","part","office/service","<=med","high","<=med",1,4,"no_car","apartment","own","tv","pc","no_tablet","everyday","no_blog/web",1,5,5,7,5,6,1,7,6,7,6,6,5,1,3,6,3,3,"sometimes",2,5,7,4,5,2,1,5,6,5,8,"sometimes",4,5,4,5,4,5,2,5,6,3,4,"rarely",6,1,6,6,2,1,1,2,7,1,1,4,1,4,3,2,6,"everyday",7,1,5,6,7,5,4,4,7,6,5,5,5,5,"regularly","never","sometimes","sometimes","regularly","regularly","rarely",2,1,"sometimes","run","tens","tens","zero",0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,3,3,4,3,3,4,3,3,4,4,1,4,4,3,4,4,4,4,4,3,4,4,4,3,4,4,3,4,3,3,2,3,2,4,4,2,4,4,"4","4","1","2","1","4","2","1","3","1","4","2","2","5","1","4","2","4",26,"tech/assoc_pro","low:phys/sale/serv/assoc_pro","1-2","low"
130,"man",1987,"nf_rel","yes","Białołęka",10,"no","no","BA","soc/beh","fl_edu","yes","full","analyst","<=med","<=med","high",3,4,"no_car","apartment","own","tv","pc","tablet","everyday","no_blog/web",1,6,3,5,7,4,4,7,5,5,5,3,2,3,3,4,4,4,"often",5,6,6,4,7,5,1,6,7,5,4,"rarely",5,7,4,4,6,4,4,5,6,5,7,"rarely",6,4,5,4,4,1,2,3,3,5,1,4,2,4,3,4,5,"everyday",7,1,5,4,7,1,4,5,5,6,6,3,7,7,"regularly","rarely","regularly","rarely","sometimes","sometimes","regularly",1,1,"regularly","ind","hundreds","tens","few",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,4,4,4,3,4,4,2,4,4,2,4,1,3,4,2,4,4,4,4,4,4,4,4,4,4,4,3,4,2,1,2,3,3,3,2,2,2,"5","5","5","4","1","5","1","1","5","1","5","3","3","5","5","5","1","5",27,"pro","high:mng/pro/self","3-4","mid/high"
131,"woman",1988,"nf_rel","yes","Śródmieście",7,"no","no","MA+","STEM/med","no_fl_edu","yes","full","marketing/PR","high","high","<=med",9,5,"1car+","apartment","own","tv","pc","tablet","everyday","no_blog/web",10,6,2,6,7,6,2,6,4,3,5,3,1,6,1,4.13812154696133,6,1,"often",5,4,6,5,5,6,4,6,6,6,20,"rarely",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,"often",2,5,3,6,NA,6,3,5,4,3,1,1,6,1,2,7,5,"everyday",6,1,2,6,6,4,5,2,3,5,5,2,4,3,"regularly","never","regularly","rarely","sometimes","regularly","regularly",1,1,"regularly","ind","tens","few","few",0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,3,1,4,3,2,3,3,3,4,0,3,2,NA,4,3,4,2,4,3,4,4,4,2,4,4,4,4,4,5,1,4,4,5,2,4,4,5,"3","4","2","5","2","5","1","1","5","1","5","2","5","5","2","5","1","5",26,"pro","high:mng/pro/self","9-10","mid/high"
132,"man",1991,"single","yes","Śródmieście",2,"no","no","BA","law/biz/menag","no_fl_edu","yes","full","analyst","high","high","high",3,4,"no_car","apartment","rent","no_tv","pc","no_tablet","everyday","blog/web",0,5,3,7,6,5,5,7,6,5,5,5,1,6,2,6,2,4,"often",7,4,5,2,1,3,2,7,5,5,8,"sometimes",5,1,3,4,5,4,2,7,5,6,20,"often",7,4,7,7,2,5,1,7,5,7,2,2,5,2,3,7,7,NA,7,5,6,6,7,3,2,6,6,7,2,1,7,7,"rarely","rarely","sometimes","sometimes","regularly","regularly","regularly",3,1,"sometimes","ind",NA,NA,NA,0,0,0,0,0,1,0,0,1,0,0,0,0,0,4,4,4,4,4,3,4,4,4,4,4,3,3,4,4,4,3,4,4,NA,3,4,4,4,4,4,4,3,NA,4,4,2,3,4,2,5,3,4,4,"3","3","4","2","3","4","1","4","3","1","5","5","5","4","4","3","5","4",23,"pro","high:mng/pro/self","3-4","mid/high"
133,"man",1987,"nf_rel","yes","Bielany",18,"no","no","<=highschool+tech","soc/beh","fl_edu","yes","flexible","art/design","high","<=med","high",7,4,"1car+","apartment","rent","tv","pc","no_tablet","everyday","blog/web",0,1,1,1,2,1,1,6,1,2,2,2,1,2,1,1,1,1,"rarely",3,7,3,5,7,7,5,2,7,1,2,"often",4,7,7,4,6,5,6,6,5,4,6,"rarely",5,1,1,1,1,1,1,5,5,5,1,2,2,2,5,2,4,"everyday",7,5,4,1,3,5,2,5,1,3,1,7,5,7,"regularly","rarely","regularly","sometimes","sometimes","never","never",1,1,"regularly","rival","thousands","hundreds","tens+",1,0,1,0,1,1,0,0,1,0,0,0,1,1,3,3,4,3,4,3,4,2,4,3,4,2,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,1,4,5,4,5,5,4,5,"4","4","4","4","1","5","1","3","5","2","5","3","4","5","2","5","1","5",27,"pro","high:mng/pro/self","7-8","mid/high"
134,"man",1990,"nf_rel","yes","Bemowo",24,"no","no","BA","law/biz/menag","fl_edu","yes","full","journal","high","high","don't_know",3,3,"no_car","apartment","own","tv","pc","no_tablet","everyday","no_blog/web",2,2,7,6,4,5,2,7,6,4,5,3,2,6,2.98347107438017,4,5,5,"sometimes",7,5,5,5,5,1,2,3,5,4,6,"often",6,5,4,6,6,4,4,3,5,6,20,"often",4,6,6,5,5,5,1,5,3,5,4,4,5,4,3,3,5,"everyday",5,3,6,1,7,2,3,5,4,1,4,5,5,7,"regularly","rarely","sometimes","sometimes","sometimes","regularly","regularly",5,5,"regularly","ind","hundreds","tens","tens+",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,2,2,0,3,4,4,1,0,1,4,4,3,4,1,4,1,3,4,4,1,4,4,4,3,4,4,1,2,5,3,4,5,5,4,"3","4","5","4","2","5","1","4","4","2","2","3","2","4","3","5","2","4",24,"pro","high:mng/pro/self","3-4","mid/high"
135,"man",1990,"nf_rel","yes","Wola",5,"no","no","<=highschool+tech","law/biz/menag","fl_edu","no","no_job",NA,"high","high","high",NA,4,"1car+","apartment","rent","tv","pc","tablet","everyday","no_blog/web",0,3,1,5,7,2,2,7,5,3,5,4,2,5,2.98347107438017,5,2,2,"sometimes",7,5,6,5,6,4,6,6,3,5,7,"often",4,5,5,5,6,3,5,5,5,3,20,"rarely",4,6,6,6,2,3,2,5,3,5,3,3,4,3,6,5,6,"everyday",6,3,5,5,6,3,3,3,3,5,5,5,5,6,"regularly","never","regularly","rarely","rarely","regularly","rarely",1,1,"sometimes","run","tens","few","few",1,0,0,1,0,1,0,0,0,0,0,0,1,0,1,1,3,3,3,3,2,2,0,2,4,0,2,0,4,1,3,3,4,4,0,4,1,4,2,4,3,4,0,3,4,1,2,3,4,3,3,3,3,"4","4","3","2","2","4","1","1","4","1","4","4","3","4","1","5","1","4",24,NA,NA,NA,NA
136,"man",1989,"single","yes","Śródmieście",25,"no","no","<=highschool+tech","STEM/med","fl_edu","yes","full","office/service","high","high","<=med",2,3,"1car+","apartment","rent","no_tv","no_pc","no_tablet","everyday","no_blog/web",0,1,1,6,1,5,1,5,7,2,2,2,1,4,2,5,1,1,"sometimes",3,6,4,3,7,4,3,5,5,6,4,"often",4,7,6,5,6,5,3,5,6,6,6,"sometimes",6,5,3,3,3,4,1,6,5,6,5,4,4,4,5,6,5,"everyday",5,2,3,5,7,3,5,4,2,6,2,3,7,4,"regularly","rarely","sometimes","sometimes","regularly","regularly","rarely",2,1,"regularly","run","hundreds","hundreds","few",1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,1,4,0,2,4,1,3,3,3,4,4,2,1,3,3,4,0,4,4,0,4,4,2,4,3,3,4,4,3,1,3,3,4,5,4,5,4,"2","4","1","2","2","4","1","1","4","1","1","4","4","4","2","3","2","4",25,"cler_sup","low:phys/sale/serv/assoc_pro","2-3","mid/high"
137,"man",1992,"single","yes","Ochota",3,"no","yes","<=highschool+tech","soc/beh","fl_edu","yes","flexible","journal","<=med","high","<=med",1,4,"1car+","apartment","rent","no_tv","pc","no_tablet","everyday","blog/web",5,1,1,1,7,1,1,7,6,1,1,1,1,1,1,1,1,1,"sometimes",7,5,6,5,4,1,1,4,1,1,5,"often",7,5,4,7,7,1,4,3,1,1,25,"often",6,7,4,4,1,1,1,1,1,7,1,1,1,1,1,1,4.34517766497462,"everyday",7,1,4,4,7,1,4,7,3,6,4,3,6,6,"regularly","regularly","regularly","sometimes","sometimes","sometimes","never",1,1,"regularly","run","hundreds","hundreds","tens+",0,0,0,0,0,1,0,1,0,0,0,0,0,0,3,4,4,4,4,4,3,3,3,4,4,4,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,1,1,4,5,5,3,3,4,"5","5","4","1","1","4","1","1","2","4","5","3","1","4","1","5","3","5",22,"pro","high:mng/pro/self","1-2","low"
